owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user18,1.0,1.0,0.0,0.0,0.0,0.5400000214576721,4,92,24,24,7,49
user19,1.0,1.0,0.0,0.0,0.0,0.36500000953674316,4,92,24,24,7,49
user2,1.0,1.0,0.0,0.0,0.0,0.4050000011920929,4,92,24,24,7,49
user20,0.8260869565217391,1.0,0.0,0.0,0.0,0.23000000417232513,4,92,24,24,7,49
user21,1.0,1.0,0.0,0.0,0.0,0.6850000023841858,4,92,24,24,7,49
user22,1.0,1.0,0.0,0.0,0.0,0.5600000023841858,4,92,24,24,7,49
user23,1.0,1.0,0.0,0.0,0.0,0.28999999165534973,4,92,24,24,7,49
user24,1.0,1.0,0.0,0.0,0.0,0.25,4,92,24,24,7,49
user25,1.0,1.0,0.0,0.0,0.0,0.39500001072883606,4,92,24,24,7,49
user3,1.0,1.0,0.0,0.0,0.0,0.7450000047683716,4,92,24,24,7,49
user4,0.8695652173913043,1.0,0.0,0.0,0.0,0.15000000596046448,4,92,24,24,7,49
user5,1.0,1.0,0.0,0.0,0.0,0.3199999928474426,4,92,24,24,7,49
user6,1.0,1.0,0.0,0.0,0.0,0.3799999952316284,4,92,24,24,7,49
user7,0.8695652173913044,1.0,0.0,0.0,0.0,0.27000001072883606,4,92,24,24,7,49
user8,0.7391304347826086,1.0,0.0,0.0,0.0,0.2150000035762787,4,92,24,24,7,49
user9,1.0,1.0,0.0,0.0,0.0,0.7250000238418579,4,92,24,24,7,49
user1,1.0,1.0,0.0,0.0,0.0,0.18000000715255737,4,92,24,24,8,50
user10,1.0,1.0,0.0,0.0,0.0,0.23999999463558197,4,92,24,24,8,50
user12,1.0,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.1171739150000655,4,92,24,24,8,50
user13,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.07173912810242694,4,92,24,24,8,50
user14,1.0,1.0,0.0,0.0,0.0,0.2849999964237213,4,92,24,24,8,50
user15,0.30434782608695654,1.0,0.0,0.0,0.0,0.23999999463558197,4,92,24,24,8,50
user16,0.391304347826087,1.0,0.0,0.0,0.0,0.5950000286102295,4,92,24,24,8,50
user17,1.0,1.0,0.0,0.0,0.0,0.8899999856948853,4,92,24,24,8,50
user18,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.30282609877379046,4,92,24,24,8,50
user19,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.18152174612750177,4,92,24,24,8,50
user2,0.5,0.782608695652174,0.21739130434782608,0.21739130434688092,0.9999999999,0.033260869429163314,4,92,24,24,8,50
user20,0.3913043478260869,1.0,0.0,0.0,0.0,0.39500001072883606,4,92,24,24,8,50
user21,1.0,1.0,0.0,0.0,0.0,0.7099999785423279,4,92,24,24,8,50
user22,1.0,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.1571739147538724,4,92,24,24,8,50
user23,1.0,1.0,0.0,0.0,0.0,0.574999988079071,4,92,24,24,8,50
user24,1.0,1.0,0.0,0.0,0.0,0.4650000035762787,4,92,24,24,8,50
user25,1.0,1.0,0.0,0.0,0.0,0.3700000047683716,4,92,24,24,8,50
user3,1.0,1.0,0.0,0.0,0.0,0.7049999833106995,4,92,24,24,8,50
user4,1.0,1.0,0.0,0.0,0.0,0.33000001311302185,4,92,24,24,8,50
user5,0.9565217391304348,1.0,0.0,0.0,0.0,0.4099999964237213,4,92,24,24,8,50
user6,1.0,1.0,0.0,0.0,0.0,0.41999998688697815,4,92,24,24,8,50
user7,1.0,1.0,0.0,0.0,0.0,0.35499998927116394,4,92,24,24,8,50
user8,1.0,1.0,0.0,0.0,0.0,0.5099999904632568,4,92,24,24,8,50
user9,1.0,1.0,0.0,0.0,0.0,0.4449999928474426,4,92,24,24,8,50
user1,1.0,1.0,0.0,0.0,0.0,0.2199999988079071,4,92,24,24,9,51
user10,1.0,1.0,0.0,0.0,0.0,0.4050000011920929,4,92,24,24,9,51
user12,1.0,1.0,0.0,0.0,0.0,0.23499999940395355,4,92,24,24,9,51
user13,1.0,1.0,0.0,0.0,0.0,0.36000001430511475,4,92,24,24,9,51
user14,1.0,1.0,0.0,0.0,0.0,0.5899999737739563,4,92,24,24,9,51
user15,0.9130434782608696,1.0,0.0,0.0,0.0,0.17000000178813934,4,92,24,24,9,51
user16,1.0,1.0,0.0,0.0,0.0,0.48500001430511475,4,92,24,24,9,51
user17,1.0,1.0,0.0,0.0,0.0,0.8550000190734863,4,92,24,24,9,51
user18,1.0,1.0,0.0,0.0,0.0,0.6100000143051147,4,92,24,24,9,51
user19,1.0,1.0,0.0,0.0,0.0,0.47999998927116394,4,92,24,24,9,51
user2,0.8478260869565217,1.0,0.0,0.0,0.0,0.23999999463558197,4,92,24,24,9,51
user20,1.0,1.0,0.0,0.0,0.0,0.3499999940395355,4,92,24,24,9,51
user21,1.0,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,9,51
user22,0.9565217391304347,1.0,0.0,0.0,0.0,0.5350000262260437,4,92,24,24,9,51
user23,1.0,1.0,0.0,0.0,0.0,0.38499999046325684,4,92,24,24,9,51
user24,1.0,1.0,0.0,0.0,0.0,0.3700000047683716,4,92,24,24,9,51
user25,1.0,1.0,0.0,0.0,0.0,0.33500000834465027,4,92,24,24,9,51
user3,1.0,1.0,0.0,0.0,0.0,0.8349999785423279,4,92,24,24,9,51
user4,1.0,0.9347826086956521,0.08333333333333334,0.04347826086937619,0.9999999999,0.0520833342646559,4,92,24,24,9,51
user5,1.0,0.9565217391304347,0.043478260869565216,0.04347826086937619,0.9999999999,0.08521739231503528,4,92,24,24,9,51
user6,1.0,1.0,0.0,0.0,0.0,0.4699999988079071,4,92,24,24,9,51
user7,1.0,1.0,0.0,0.0,0.0,0.41499999165534973,4,92,24,24,9,51
user8,0.717391304347826,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.17500000155490378,4,92,24,24,9,51
user9,1.0,0.9782608695652174,0.021739130434782608,0.04347826086937619,0.0,0.06499999761581421,4,92,24,24,9,51
